horizon_weeks,feature,best_lag_weeks,best_corr_abs
2,ws_нет_запахов_roll_mean_4,2,0.45296625028516757
2,ws_нет_запахов,3,0.44680773929725776
2,ws_нет_запахов_lag_1,2,0.44680773929725776
2,ws_нет_запахов_lag_2,1,0.44680773929725776
2,ws_положительный_тест_ковид_zscore_8,3,0.44169429819363754
2,ws_чем_лечить_ковид_zscore_8,1,0.4372455484472988
2,ws_экспресс_тест_ковид_zscore_8,1,0.4355039520843454
2,ws_share_кт_легких,4,0.4311466122783086
2,ws_кт_легких_roll_mean_8,1,0.42906573233801154
2,ws_тест_на_ковид_zscore_8,1,0.4257861498712362
2,ws_кт_легких_roll_mean_4,3,0.4239852414945664
2,ws_кт_легких,4,0.41587494379092893
2,ws_кт_легких_lag_1,3,0.41587494379092893
2,ws_кт_легких_lag_2,2,0.41587494379092893
2,ws_share_боль_в_горле,4,0.41478253132745124
2,ws_ковид_zscore_8,1,0.41277786960808815
2,ws_share_сатурация,8,0.40870956739881203
2,ws_боль_в_горле_roll_mean_8,1,0.4061138607526488
2,ws_сатурация_roll_mean_8,2,0.4045394530165462
2,ws_group_specific_symptoms_roll_mean_8,2,0.4038982653300193
2,ws_боль_в_горле_roll_mean_4,2,0.4038230863753015
2,ws_боль_в_горле,4,0.4004859479651773
2,ws_боль_в_горле_lag_1,3,0.4004859479651773
2,ws_боль_в_горле_lag_2,2,0.4004859479651773
2,ws_share_ломота,8,0.39912072166471957
2,ws_group_specific_symptoms_roll_mean_4,4,0.39818407098152936
2,ws_сатурация_roll_mean_4,4,0.3975472267727166
2,ws_group_specific_symptoms,6,0.3900027476387295
2,ws_group_specific_symptoms_lag_1,5,0.3900027476387295
2,ws_group_specific_symptoms_lag_2,4,0.3900027476387295
2,ws_group_complications_treatment_roll_mean_8,1,0.3883590798973344
2,ws_group_disease_zscore_8,1,0.38812677942818136
2,ws_сатурация,7,0.3876475048116064
2,ws_сатурация_lag_1,6,0.3876475048116064
2,ws_сатурация_lag_2,5,0.3876475048116064
2,ws_ломота_roll_mean_8,2,0.3876002144376944
2,ws_share_потеря_вкуса,7,0.3852444298966472
2,ws_ломота_roll_mean_4,6,0.3822087597266804
2,ws_потеря_вкуса_roll_mean_8,2,0.38060027391891654
2,ws_group_complications_treatment_roll_mean_4,2,0.38010503521459765
2,ws_потеря_вкуса_roll_mean_4,4,0.37717891957680494
2,ws_ломота,7,0.37705876033708297
2,ws_ломота_lag_1,6,0.37705876033708297
2,ws_ломота_lag_2,5,0.37705876033708297
2,ws_group_general_symptoms_roll_mean_8,1,0.37667910239190916
2,ws_пневмония_roll_mean_8,1,0.37651303649836726
2,ws_group_general_symptoms_roll_mean_4,2,0.37365174247785593
2,ws_group_testing_zscore_8,1,0.3734154296039632
2,ws_share_сухой_кашель,2,0.37184636564531287
2,ws_потеря_вкуса,5,0.37042413116165984
2,ws_потеря_вкуса_lag_1,4,0.37042413116165984
2,ws_потеря_вкуса_lag_2,3,0.37042413116165984
2,ws_group_complications_treatment,3,0.3697229841540976
2,ws_group_complications_treatment_lag_1,2,0.3697229841540976
2,ws_group_complications_treatment_lag_2,1,0.3697229841540976
2,ws_group_general_symptoms,3,0.36890430668657337
2,ws_group_general_symptoms_lag_1,2,0.36890430668657337
2,ws_group_general_symptoms_lag_2,1,0.36890430668657337
2,ws_пневмония_roll_mean_4,1,0.3684123353779935
2,ws_коронавирус_zscore_8,1,0.3683381636398297
2,ws_share_пневмония,3,0.3664084217030888
2,ws_сухой_кашель_roll_mean_4,1,0.3577101935045125
2,ws_пневмония,3,0.3577023084932541
2,ws_пневмония_lag_1,2,0.3577023084932541
2,ws_пневмония_lag_2,1,0.3577023084932541
